,Score
AFG,0.006673347876888756
AHO,0.006673348657176445
ALB,0.006673347916017552
ALG,0.006673467131641066
ANZ,0.006673618169501132
ARG,0.006674333937394373
ARM,0.00667344363896022
AUS,0.006763546611958904
AUT,0.006674919408417472
AZE,0.006673724189144207
BAH,0.006673439459235053
BAR,0.006673345003576269
BDI,0.006673350557752488
BEL,0.006695028591265715
BER,0.006673352692056904
BLR,0.006674132510031553
BOT,0.006673357862231109
BRA,0.006679216823553513
BRN,0.006673393505952361
BUL,0.006681275681820981
BUR,0.006673344348113115
CAN,0.006682356487808459
CHI,0.00667345198419746
CHN,0.00700598548477047
CIV,0.006673366073297775
CMR,0.00667337298122848
COL,0.00667360902032726
CPV,0.006673344421982772
CRC,0.00667336183625738
CRO,0.0066737979979162474
CUB,0.006680756944052323
CYP,0.0066733486628996795
CZE,0.006677800511787108
DEN,0.00667680658736045
DJI,0.006673347045961461
DMA,0.006673345549090766
DOM,0.0066734117061664966
ECU,0.006673398687391938
EGY,0.006673713691133765
ERI,0.006673345003576269
ESP,0.006685693181859529
EST,0.006673786642594029
ETH,0.0066739689657515176
EUN,0.00670322477214878
FIJ,0.006673358836935556
FIN,0.006696926806720256
FRA,0.007041081437008274
GAB,0.006673345057261823
GBR,0.007656729601082759
GEO,0.006673704370056051
GER,0.007127134200850958
GHA,0.006673371455609754
GRE,0.0067396774524658455
GRN,0.006673360221803142
GUA,0.006673353951168537
GUY,0.006673348868936129
HAI,0.006673361740242119
HKG,0.00667341568974639
HUN,0.006696403617345202
INA,0.00667361018390994
IND,0.006673620042186638
IOA,0.00667335170900718
IOP,0.006673359437669433
IRI,0.0066744256852058195
IRQ,0.006673347753324137
ISL,0.006673373050614193
ISR,0.006673453245356859
ISV,0.006673348657176445
ITA,0.006733468616696849
JAM,0.0066744781157396195
JOR,0.006673357003560374
JPN,0.006770701328047771
KAZ,0.0066740325592857044
KEN,0.0066751263944368104
KGZ,0.006673392488349751
KOR,0.006704359874191271
KOS,0.006673366202288137
KSA,0.006673356836283872
KUW,0.006673351483534797
LAT,0.00667347415017585
LBN,0.006673373630380959
LCA,0.006673350948031205
LKA,0.006673345414606289
LTU,0.006673515566504405
LUX,0.006673384229088222
MAR,0.006677302700524207
MAS,0.006673403419267002
MDA,0.006673380373857401
MEX,0.006675499128711453
MGL,0.006673533621054085
MIX,0.006674870593273951
MKD,0.006673348468734729
MNE,0.006673345057261823
MOZ,0.006673350339920298
MRI,0.006673344499455827
NAM,0.006673367428662907
NED,0.006688235598857221
NIG,0.0066735224558157336
NOR,0.006677233653467388
NZL,0.006676040665957201
PAK,0.0066734356430840185
PAN,0.006673366561587284
PAR,0.0066733453504675385
PER,0.006673377492245061
PHI,0.006673468562383313
POL,0.006680685821131094
POR,0.006673558820491839
PRK,0.006673916663551099
PUR,0.006673406847732486
QAT,0.006673384720916679
ROC,0.0067150314333124924
ROT,0.006673344421982772
ROU,0.006686613935453823
RSA,0.006674723523662018
RUS,0.007376821473258761
SAM,0.0066733449513819805
SCG,0.006673349993692481
SEN,0.006673348657176445
SGP,0.006673368337190988
SLO,0.00667354288749068
SMR,0.00667335236297091
SRB,0.006675167375403894
SUD,0.0066733449513819805
SUI,0.006678239656032873
SUR,0.006673355387239955
SVK,0.006673581152482797
SWE,0.006787337330326358
SYR,0.006673361636720617
TAN,0.006673360303959048
TGA,0.006673345619639999
THA,0.006673641950226511
TJK,0.006673367543943268
TKM,0.006673344710745976
TOG,0.006673344499455827
TPE,0.006673636914025601
TTO,0.006673464586559389
TUN,0.006673453084138747
TUR,0.006675166095176808
UAE,0.006673349607380154
UGA,0.0066734350847018915
UKR,0.006675949440504969
URU,0.006673431030849104
USA,0.00877510481086276
UZB,0.0066739145361036
VEN,0.006673452371022339
VIE,0.006673363615217077
ZAM,0.00667335500108645
ZIM,0.006673397268103636
