Year,Host,IOC_Code
1896," Athens, Greece",GRE
1900," Paris, France",FRA
1904," St. Louis, United States",USA
1908," London, United Kingdom",GBR
1912," Stockholm, Sweden",SWE
1916, Cancelled (WWI – Berlin had been awarded),N/A
1920," Antwerp, Belgium",BEL
1924," Paris, France",FRA
1928," Amsterdam, Netherlands",NED
1932," Los Angeles, United States",USA
1936," Berlin, Germany",GER
1940, Cancelled (WWII – Tokyo had been awarded),N/A
1944, Cancelled (WWII – London had been awarded),N/A
1948," London, United Kingdom",GBR
1952," Helsinki, Finland",FIN
1956," Melbourne, Australia",AUS
1960," Rome, Italy",ITA
1964," Tokyo, Japan",JPN
1968," Mexico City, Mexico",MEX
1972," Munich, West Germany",GER
1976," Montreal, Canada",CAN
1980," Moscow, Soviet Union",RUS
1984," Los Angeles, United States",USA
1988," Seoul, South Korea",KOR
1992," Barcelona, Spain",ESP
1996," Atlanta, United States",USA
2000," Sydney, Australia",AUS
2004," Athens, Greece",GRE
2008," Beijing, China",CHN
2012," London, United Kingdom",GBR
2016," Rio de Janeiro, Brazil",BRA
2020," Tokyo, Japan (postponed to 2021 due to the coronavirus pandemic)",JPN
2024," Paris, France",FRA
2028," Los Angeles, United States",USA
2032," Brisbane, Australia",AUS
